,heart,brain,kidney
PCA_vs_ICA,0.002294985073578331,1.862645149230957e-09,5.545402842971358e-06
PCA_vs_GMM,0.037876254646069966,1.6391277313232422e-07,0.0635564886033535
ICA_vs_GMM,0.338741784915328,1.862645149230957e-09,1.862645149230957e-09
